"Kategori","Informasi 1","Informasi 2","Informasi 3","Informasi 4","Informasi 5","Status Evaluasi"
"HEADER RESMI","LAPORAN TELEMETRI REAL-TIME NOC","PT PLN (PERSERO) UID BALI","LAB IOT ELEKTRO UNSRI","DOKUMEN INTERNAL","18-Sep-2026","RAHASIA DOKUMEN"
"METADATA","No Dokumen: LAP-042/PLN-UNSRI","Operator: Luthfi Hibatullah","NIM: 03041182530001","Supervisor: Prof. Abu Bakar","Status: SPK Active","VALIDASI KUTA"
"SEPARATOR","---------------------------","---------------------------","---------------------------","---------------------------","---------------------------","---------------"
"DATA TELEMETRI","ID Perangkat Node","Lokasi Gardu / Trafo","IP Gateway Jaringan","Tegangan Fasa (Volt)","Suhu Inti Trafo (C)","Kondisi Jaringan"
"NODE SEKTOR 1","ESP32-DPS-01","Substation Udayana (Denpasar)","10.24.112.10","220.8","33.4","ONLINE (11 ms)"
"NODE SEKTOR 2","ESP32-JBR-02","Trafo Distribusi Jimbaran 02","10.24.112.18","220.1","36.2","ONLINE (16 ms)"
"NODE SEKTOR 3","ESP32-SNR-04","Node Pesisir Pantai Sanur","10.24.112.22","219.7","34.0","ONLINE (13 ms)"
"NODE SEKTOR 4","ESP32-KTA-03","Gardu Distribusi Kuta Beach","10.24.112.35","0.0","51.8","CRITICAL DOWN"
"SEPARATOR","---------------------------","---------------------------","---------------------------","---------------------------","---------------------------","---------------"
"PARAMETER GRID","Frekuensi Sistem: 50.02 Hz","Tegangan Efektif: 220.4 V","Arus Beban: 412.8 A","Throughput: 384 msg/s","Uptime SLA: 99.94%","STABIL / OPTIMAL"
"DISPATCH SPK","Tiket SPK: #SPK-2026/PLN/BALI-042","Target: Gardu Kuta Beach","GPS: -8.7214, 115.1695","Tindakan: Reset On-Site","Teknisi: Luthfi Hibatullah","PENDING VISIT"
"PENGESAHAN","Disetujui: Prof. Abu Bakar","Kepala Lab IoT Unsri","Diverifikasi: Ir. Nyoman Arya","Manager Distribusi PLN","Sertifikasi: ISO 27001","TERVERIFIKASI"
